"test_num","board","sensor","marble_color","min_value","max_value","low_threshold","high_threshold","min_range","max_range","sensor_amplitude","monitored_mean","coeff_monitored_range","coeff_full_range","Maxy ref alpha","maxy i ref","maxy cal alpha","adjusted_full_range"
1,3,7," Blue   ",1564,1688,1410,1796,1181,2602,1421,1626,0.313159746657284,0.624903920061491,3143,2623,3174,0.613846394444376
1,3,7," Yellow ",1904,2095,1796,2336,1181,2602,1421,1999.5,0.576002814919071,0.768447348193697,3143,2623,3174,0.75484985589885
1,3,7," White  ",2577,2602,2336,4095,1181,2602,1421,2589.5,0.991203377902885,0.995196003074558,3143,2623,3174,0.977586247486908
1,3,8," NONE   ",0,0,0,446,893,2134,1241,0,-0.719580983078163,0,3143,2088,3174,0
1,3,8," Red    ",893,1005,446,1164,893,2134,1241,949,0.0451248992747784,0.444704779756326,3143,2088,3174,0.450062861081537
1,3,8," Blue   ",1323,1462,1164,1513,893,2134,1241,1392.5,0.402497985495568,0.65253045923149,3143,2088,3174,0.660392554326701
1,3,8," Yellow ",1564,1659,1513,1836,893,2134,1241,1611.5,0.578968573730862,0.755154639175258,3143,2088,3174,0.764253214576287
1,3,8," White  ",2012,2134,1836,4095,893,2134,1241,2073,0.950846091861402,0.971415182755389,3143,2088,3174,0.983119400444705
1,3,9," NONE   ",0,0,0,489,978,2160,1182,0,-0.82741116751269,0,3143,2105,3174,0
1,3,9," Red    ",978,1010,489,1100,978,2160,1182,994,0.0135363790186125,0.460185185185185,3143,2105,3174,0.467597028708614
1,3,9," Blue   ",1189,1493,1100,1508,978,2160,1182,1341,0.307106598984772,0.620833333333333,3143,2105,3174,0.630832611165243
1,3,9," Yellow ",1524,1745,1508,1849,978,2160,1182,1634.5,0.555414551607445,0.756712962962963,3143,2105,3174,0.768900747911699
1,3,9," White  ",1953,2160,1849,4095,978,2160,1182,2056.5,0.91243654822335,0.952083333333333,3143,2105,3174,0.967417796317167
1,3,10," NONE   ",0,0,0,454,908,1973,1065,0,-0.852582159624413,0,3143,2004,3174,0
1,3,10," Red    ",908,1003,454,1118,908,1973,1065,955.5,0.0446009389671362,0.484287886467309,3143,2004,3174,0.472139605477137
1,3,10," Blue   ",1232,1416,1118,1466,908,1973,1065,1324,0.390610328638498,0.671059300557527,3143,2004,3174,0.654225889745399
1,3,10," Yellow ",1515,1608,1466,1778,908,1973,1065,1561.5,0.613615023474178,0.791434363912823,3143,2004,3174,0.771581364680846
1,3,10," White  ",1948,1973,1778,4095,908,1973,1065,1960.5,0.988262910798122,0.993664470349721,3143,2004,3174,0.968738562572398
