board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
4;5;" Orange ";750;894;375;1065
4;5;" Red    ";1159;1235;1065;1307
4;5;" Green  ";1445;1582;1307;1847
4;5;" Blue   ";2121;2221;1847;2748
4;5;" White  ";3276;3529;2748;4095
4;6;" NONE   ";0;0;0;441
4;6;" Orange ";883;1047;441;1170
4;6;" Red    ";1258;1437;1170;1532
4;6;" Green  ";1603;1717;1532;1927
4;6;" Blue   ";2324;2479;1927;2936
4;6;" White  ";3394;3682;2936;4095
4;7;" NONE   ";0;0;0;436
4;7;" Orange ";872;1102;436;1289
4;7;" Red    ";1364;1548;1289;1657
4;7;" Green  ";1718;1888;1657;2192
4;7;" Blue   ";2530;2775;2192;3224
4;7;" White  ";3674;3724;3224;4095
4;8;" NONE   ";0;0;0;493
4;8;" Orange ";987;1133;493;1290
4;8;" Red    ";1448;1667;1290;1742
4;8;" Green  ";1817;2073;1742;2413
4;8;" Blue   ";2793;2990;2413;3353
4;8;" White  ";3716;3736;3353;4095
4;9;" NONE   ";0;0;0;400
4;9;" Orange ";801;946;400;1082
4;9;" Red    ";1173;1301;1082;1366
4;9;" Green  ";1477;1650;1366;1822
4;9;" Blue   ";2165;2387;1822;2847
4;9;" White  ";3307;3609;2847;4095
4;10;" NONE   ";0;0;0;393
4;10;" Orange ";787;952;393;1128
4;10;" Red    ";1179;1240;1128;1328
4;10;" Green  ";1497;1608;1328;1903
4;10;" Blue   ";2188;2304;1903;2793
4;10;" White  ";3283;3489;2793;4095
4;11;" NONE   ";0;0;0;442
4;11;" Orange ";884;1019;442;1162
4;11;" Red    ";1267;1382;1162;1530
4;11;" Green  ";1631;1733;1530;1973
4;11;" Blue   ";2385;2540;1973;3069
4;11;" White  ";3599;3695;3069;4095
4;12;" NONE   ";0;0;0;499
4;12;" Orange ";999;1165;499;1293
4;12;" Red    ";1464;1607;1293;1722
4;12;" Green  ";1923;2151;1722;2533
4;12;" Blue   ";2833;3027;2533;3365
4;12;" White  ";3704;3730;3365;4095
4;13;" NONE   ";0;0;0;525
4;13;" Orange ";1050;1254;525;1515
4;13;" Red    ";1582;1661;1515;1810
4;13;" Green  ";2007;2150;1810;2594
4;13;" Blue   ";2951;3086;2594;3406
4;13;" White  ";3726;3734;3406;4095
4;14;" NONE   ";0;0;0;567
4;14;" Orange ";1135;1328;567;1446
4;14;" Red    ";1570;1739;1446;1894
4;14;" Green  ";2106;2265;1894;2571
4;14;" Blue   ";3085;3296;2571;3513
4;14;" White  ";3730;3746;3513;4095
4;15;" NONE   ";0;0;0;485
4;15;" Orange ";970;1178;485;1332
4;15;" Red    ";1426;1562;1332;1681
4;15;" Green  ";1846;2015;1681;2332
4;15;" Blue   ";2712;2950;2332;3333
4;15;" White  ";3717;3728;3333;4095
5;0;" NONE   ";0;0;0;528
5;0;" Orange ";1056;1314;528;1512
5;0;" Red    ";1599;1735;1512;1905
5;0;" Green  ";2091;2269;1905;2605
5;0;" Blue   ";3023;3241;2605;3365
5;0;" White  ";3489;3495;3365;4095
5;1;" NONE   ";0;0;0;561
5;1;" Orange ";1123;1382;561;1610
5;1;" Red    ";1700;1804;1610;1889
5;1;" Green  ";2097;2311;1889;2692
5;1;" Blue   ";3163;3361;2692;3421
5;1;" White  ";3482;3495;3421;4095
5;2;" NONE   ";0;0;0;420
5;2;" Orange ";841;1007;420;1214
5;2;" Red    ";1331;1419;1214;1505
5;2;" Green  ";1677;1834;1505;2130
5;2;" Blue   ";2458;2624;2130;3036
5;2;" White  ";3449;3461;3036;4095
5;3;" NONE   ";0;0;0;454
5;3;" Orange ";909;1060;454;1294
5;3;" Red    ";1424;1491;1294;1565
5;3;" Green  ";1812;2020;1565;2351
5;3;" Blue   ";2709;2957;2351;3207
5;3;" White  ";3457;3476;3207;4095
5;4;" NONE   ";0;0;0;431
5;4;" Orange ";862;1062;431;1191
5;4;" Red    ";1267;1397;1191;1498
5;4;" Green  ";1649;1816;1498;2250
5;4;" Blue   ";2563;2687;2250;3064
5;4;" White  ";3441;3462;3064;4095
5;5;" NONE   ";0;0;0;339
5;5;" Orange ";679;808;339;972
5;5;" Red    ";1070;1135;972;1181
5;5;" Green  ";1332;1542;1181;1854
5;5;" Blue   ";2027;2140;1854;2614
5;5;" White  ";3088;3362;2614;4095
5;6;" NONE   ";0;0;0;351
5;6;" Orange ";702;898;351;1019
5;6;" Red    ";1094;1237;1019;1310
5;6;" Green  ";1430;1572;1310;1819
5;6;" Blue   ";2194;2295;1819;2753
5;6;" White  ";3212;3410;2753;4095
5;7;" NONE   ";0;0;0;400
5;7;" Orange ";800;954;400;1113
5;7;" Red    ";1219;1366;1113;1433
5;7;" Green  ";1517;1736;1433;2160
5;7;" Blue   ";2403;2523;2160;2964
5;7;" White  ";3405;3437;2964;4095
5;8;" NONE   ";0;0;0;477
5;8;" Orange ";954;1126;477;1298
5;8;" Red    ";1416;1563;1298;1660
5;8;" Green  ";1822;2037;1660;2446
5;8;" Blue   ";2792;2921;2446;3184
5;8;" White  ";3447;3464;3184;4095
5;9;" NONE   ";0;0;0;346
5;9;" Orange ";692;797;346;997
5;9;" Red    ";1114;1175;997;1240
5;9;" Green  ";1411;1546;1240;1729
5;9;" Blue   ";2030;2250;1729;2714
5;9;" White  ";3179;3394;2714;4095
5;10;" NONE   ";0;0;0;356
5;10;" Orange ";712;912;356;1105
5;10;" Red    ";1147;1197;1105;1255
5;10;" Green  ";1441;1617;1255;1931
5;10;" Blue   ";2192;2325;1931;2826
5;10;" White  ";3328;3419;2826;4095
5;11;" NONE   ";0;0;0;382
5;11;" Orange ";764;928;382;1129
5;11;" Red    ";1225;1312;1129;1375
5;11;" Green  ";1516;1719;1375;2053
5;11;" Blue   ";2372;2581;2053;2997
5;11;" White  ";3414;3436;2997;4095
5;12;" NONE   ";0;0;0;442
5;12;" Orange ";885;1042;442;1193
5;12;" Red    ";1334;1486;1193;1626
5;12;" Green  ";1778;1931;1626;2266
5;12;" Blue   ";2664;2865;2266;3147
5;12;" White  ";3429;3459;3147;4095
5;13;" NONE   ";0;0;0;392
5;13;" Orange ";784;923;392;1201
5;13;" Red    ";1275;1322;1201;1387
5;13;" Green  ";1604;1748;1387;2155
5;13;" Blue   ";2437;2516;2155;2971
5;13;" White  ";3427;3434;2971;4095
5;14;" NONE   ";0;0;0;450
5;14;" Orange ";901;1089;450;1297
5;14;" Red    ";1361;1435;1297;1601
5;14;" Green  ";1776;1881;1601;2127
5;14;" Blue   ";2580;2786;2127;3104
5;14;" White  ";3423;3445;3104;4095
5;15;" NONE   ";0;0;0;494
5;15;" Orange ";988;1189;494;1353
5;15;" Red    ";1450;1578;1353;1666
