test_num;board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold;;min_range;max_range;sensor_amplitude;monitored_mean;coeff_monitored_range;coeff_full_range;adjusting_factor;coeff_adjusted;Maxy ref alpha;maxy i ref;maxy cal alpha;adjusted_full_range
1;1;0; Yellow ;3446;3620;3276;3695;;503;3620;3117;3533;0.972088546679499;0.975966850828729;0.978588807785888;3457.35425790754;2240;3735;2301;0.920840540199331
1;1;0; White  ;3770;3783;3695;4095;;503;3620;3117;3776.5;1.05020853384665;1.0432320441989;0.978588807785888;3695.64063260341;2240;3735;2301;0.984306340238544
1;1;1; NONE   ;44;96;0;216;;337;3018;2681;70;-0.0995897053338307;0.023194168323393;0.978588807785888;68.5012165450122;2240;3022;2301;0.0225493994352871
1;1;1; Black  ;337;392;216;1134;;337;3018;2681;364.5;0.0102573666542335;0.120775347912525;0.978588807785888;356.695620437956;2240;3022;2301;0.117417944202316
1;1;1; Red    ;1876;1909;1134;2120;;337;3018;2681;1892.5;0.580193957478553;0.627070907886017;0.978588807785888;1851.97931873479;2240;3022;2301;0.609639120446869
1;1;1; Blue   ;2331;2668;2120;2793;;337;3018;2681;2499.5;0.806602014173816;0.828197481776011;0.978588807785888;2445.98272506083;2240;3022;2301;0.805174626978573
1;1;1; Yellow ;2918;3018;2793;3341;;337;3018;2681;2968;0.981350242446848;0.983432736911862;0.978588807785888;2904.45158150852;2240;3022;2301;0.956094536056173
1;1;1; White  ;3664;3735;3341;4095;;337;3018;2681;3699.5;1.25419619544946;1.22581179589132;0.978588807785888;3620.28929440389;2240;3022;2301;1.19173576015492
1;1;2; NONE   ;91;143;0;263;;383;3237;2854;117;-0.0932025227750526;0.036144578313253;0.978588807785888;114.494890510949;2240;3308;2301;0.034431168405304
1;1;2; Black  ;383;416;263;1226;;383;3237;2854;399.5;0.00578135949544499;0.123416743898672;0.978588807785888;390.946228710462;2240;3308;2301;0.117566254512128
1;1;2; Red    ;2037;2099;1226;2276;;383;3237;2854;2068;0.590399439383322;0.638863144887241;0.978588807785888;2023.72165450122;2240;3308;2301;0.608578258651015
1;1;2; Blue   ;2452;2792;2276;2880;;383;3237;2854;2622;0.784512964260687;0.810009267840593;0.978588807785888;2565.8598540146;2240;3308;2301;0.771611312467583
1;1;2; Yellow ;2967;3237;2880;3474;;383;3237;2854;3102;0.952697967764541;0.958294717330862;0.978588807785888;3035.58248175182;2240;3308;2301;0.912867387976522
1;1;2; White  ;3711;3749;3474;4095;;383;3237;2854;3730;1.17274001401542;1.1523015137473;0.978588807785888;3650.13625304136;2240;3308;2301;1.09767742010072
1;1;3; NONE   ;34;71;0;253;;435;3504;3069;52.5;-0.124633431085044;0.0149828767123288;0.978588807785888;51.3759124087591;2240;3410;2301;0.0149877459882927
1;1;3; Black  ;435;507;253;1348;;435;3504;3069;471;0.0117302052785924;0.134417808219178;0.978588807785888;460.915328467153;2240;3410;2301;0.134461492580683
1;1;3; Red    ;2189;2253;1348;2468;;435;3504;3069;2221;0.581948517432388;0.63384703196347;0.978588807785888;2173.44574209246;2240;3410;2301;0.634053025523775
1;1;3; Blue   ;2684;2911;2468;3190;;435;3504;3069;2797.5;0.769794721407625;0.798373287671233;0.978588807785888;2737.60218978102;2240;3410;2301;0.798632750519027
1;1;3; Yellow ;3469;3504;3190;3624;;435;3504;3069;3486.5;0.994297816878462;0.995005707762557;0.978588807785888;3411.8498783455;2240;3410;2301;0.995329074060621
1;1;3; White  ;3744;3780;3624;4095;;435;3504;3069;3762;1.08406647116325;1.0736301369863;0.978588807785888;3681.45109489051;2240;3410;2301;1.07397905538966
1;1;4; NONE   ;66;131;0;218;;306;2817;2511;98.5;-0.0826363998407009;0.0349662761803337;0.978588807785888;96.39099756691;2240;2881;2301;0.0332831461382635
1;1;4; Black  ;306;330;218;1032;;306;2817;2511;318;0.004778972520908;0.112886048988285;0.978588807785888;311.191240875912;2240;2881;2301;0.107452187532668
1;1;4; Red    ;1735;1773;1032;2044;;306;2817;2511;1754;0.576662684189566;0.622648207312744;0.978588807785888;1716.44476885645;2240;2881;2301;0.592676531233647
1;1;4; Blue   ;2314;2367;2044;2571;;306;2817;2511;2340.5;0.810234966148945;0.830848420305289;0.978588807785888;2290.38710462287;2240;2881;2301;0.790854858239653
1;1;4; Yellow ;2775;2817;2571;3076;;306;2817;2511;2796;0.991636798088411;0.992545260915868;0.978588807785888;2736.13430656934;2240;2881;2301;0.944768290381572
1;1;4; White  ;3335;3494;3076;4095;;306;2817;2511;3414.5;1.23795300677021;1.21210507632233;0.978588807785888;3341.39148418491;2240;2881;2301;1.153759416133
1;1;5; NONE   ;78;147;0;196;;246;2301;2055;112.5;-0.064963503649635;0.0488917861799218;0.978588807785888;110.091240875912;2240;2240;2301;0.0488917861799218
1;1;5; Black  ;246;359;196;904;;246;2301;2055;302.5;0.0274939172749392;0.131464580617123;0.978588807785888;296.023114355231;2240;2240;2301;0.131464580617123
1;1;5; Red    ;1448;1498;904;1690;;246;2301;2055;1473;0.597080291970803;0.640156453715776;0.978588807785888;1441.46131386861;2240;2240;2301;0.640156453715776
1;1;5; Blue   ;1882;1953;1690;2108;;246;2301;2055;1917.5;0.81338199513382;0.833333333333333;0.978588807785888;1876.44403892944;2240;2240;2301;0.833333333333333
1;1;5; Yellow ;2264;2301;2108;2538;;246;2301;2055;2282.5;0.990997566909976;0.991960017383746;0.978588807785888;2233.62895377129;2240;2240;2301;0.991960017383746
1;1;5; White  ;2775;2804;2538;4095;;246;2301;2055;2789.5;1.23771289537713;1.21229900043459;0.978588807785888;2729.77347931873;2240;2240;2301;1.21229900043459
1;1;6; NONE   ;80;115;0;186;;258;2577;2319;97.5;-0.0692108667529107;0.0378346915017462;0.978588807785888;95.4124087591241;2240;2465;2301;0.0385051741327741
1;1;6; Black  ;258;302;186;920;;258;2577;2319;280;0.00948684777921518;0.108653473030656;0.978588807785888;274.004866180049;2240;2465;2301;0.110578961612069
1;1;6; Red    ;1538;1660;920;1896;;258;2577;2319;1599;0.578266494178525;0.620488940628638;0.978588807785888;1564.76350364964;2240;2465;2301;0.631484855777495
1;1;6; Blue   ;2132;2222;1896;2376;;258;2577;2319;2177;0.827511858559724;0.844780752813349;0.978588807785888;2130.38783454988;2240;2465;2301;0.859751426533838
1;1;6; Yellow ;2531;2577;2376;2867;;258;2577;2319;2554;0.990081931867184;0.991074893286767;0.978588807785888;2499.31581508516;2240;2465;2301;1.00863809984723
1;1;6; White  ;3157;3247;2867;4095;;258;2577;2319;3202;1.26951272100043;1.24253007372914;0.978588807785888;3133.44136253041;2240;2465;2301;1.26454941100659
1;1;7; NONE   ;22;54;0;154;;253;2743;2490;38;-0.0863453815261044;0.013853445133066;0.978588807785888;37.1863746958637;2240;2761;2301;0.0133982658123383
