board;sensor;marble_color;min_value;max_value;mean;low_threshold;high_threshold
7;6;" NONE   ";0;9;0;0;334
7;6;" Orange ";660;847;757;334;1104
7;6;" Green  ";1362;1452;1411;1104;2332
7;6;" White  ";3213;3339;3271;2332;4095
7;7;" NONE   ";0;3;0;0;444
7;7;" Orange ";886;1037;945;444;1369
7;7;" Green  ";1702;1875;1806;1369;2735
7;7;" White  ";3596;3672;3643;2735;4095
7;8;" NONE   ";0;11;0;0;404
7;8;" Orange ";798;928;864;404;1258
7;8;" Green  ";1589;1703;1662;1258;2596
7;8;" White  ";3490;3635;3605;2596;4095
7;9;" NONE   ";0;8;0;0;427
7;9;" Orange ";847;1056;929;427;1331
7;9;" Green  ";1607;1782;1680;1331;2698
7;9;" White  ";3614;3637;3627;2698;4095
7;10;" NONE   ";0;0;0;0;366
7;10;" Orange ";733;943;850;366;1196
7;10;" Green  ";1450;1622;1541;1196;2458
7;10;" White  ";3294;3599;3532;2458;4095
7;11;" NONE   ";0;0;0;0;380
7;11;" Orange ";761;894;838;380;1191
7;11;" Green  ";1489;1630;1547;1191;2587
7;11;" White  ";3544;3602;3571;2587;4095
7;12;" NONE   ";0;0;0;0;411
7;12;" Orange ";823;955;903;411;1250
7;12;" Green  ";1546;1735;1637;1250;2668
7;12;" White  ";3601;3633;3619;2668;4095
7;13;" NONE   ";0;0;0;0;395
7;13;" Orange ";791;1042;889;395;1333
7;13;" Green  ";1625;1787;1694;1333;2685
7;13;" White  ";3584;3639;3622;2685;4095
7;14;" NONE   ";0;0;0;0;449
7;14;" Orange ";898;1090;992;449;1386
7;14;" Green  ";1683;1829;1771;1386;2723
7;14;" White  ";3617;3665;3642;2723;4095
7;15;" NONE   ";0;17;0;0;400
7;15;" Orange ";783;958;887;400;1260
7;15;" Green  ";1562;1673;1614;1260;2507
7;15;" White  ";3341;3620;3567;2507;4095
8;0;" NONE   ";5;104;35;0;617
8;0;" Orange ";1131;1319;1249;617;1734
8;0;" Green  ";2149;2272;2203;1734;2931
8;0;" White  ";3591;3628;3610;2931;4095
8;1;" NONE   ";0;83;25;0;638
8;1;" Orange ";1193;1465;1355;638;1837
8;1;" Green  ";2209;2490;2329;1837;3047
8;1;" White  ";3605;3629;3619;3047;4095
8;2;" NONE   ";31;99;64;0;580
8;2;" Orange ";1061;1288;1134;580;1564
8;2;" Green  ";1840;2007;1931;1564;2785
8;2;" White  ";3563;3595;3582;2785;4095
8;3;" NONE   ";0;48;6;0;593
8;3;" Orange ";1138;1363;1272;593;1767
8;3;" Green  ";2172;2405;2272;1767;3001
8;3;" White  ";3598;3622;3609;3001;4095
8;4;" NONE   ";0;32;2;0;510
8;4;" Orange ";988;1173;1077;510;1482
8;4;" Green  ";1791;1971;1895;1482;2763
8;4;" White  ";3555;3591;3577;2763;4095
8;5;" NONE   ";12;141;52;0;567
8;5;" Orange ";994;1137;1092;567;1473
8;5;" Green  ";1810;1966;1872;1473;2758
8;5;" White  ";3551;3583;3566;2758;4095
8;6;" NONE   ";9;101;39;0;564
8;6;" Orange ";1027;1304;1165;564;1619
8;6;" Green  ";1934;2075;2001;1619;2824
8;6;" White  ";3573;3599;3588;2824;4095
8;7;" NONE   ";0;74;14;0;652
8;7;" Orange ";1231;1417;1315;652;1850
8;7;" Green  ";2284;2558;2394;1850;3080
8;7;" White  ";3602;3619;3608;3080;4095
8;8;" NONE   ";0;62;9;0;588
8;8;" Orange ";1114;1347;1212;588;1705
8;8;" Green  ";2063;2315;2177;1705;2952
8;8;" White  ";3590;3615;3599;2952;4095
8;9;" NONE   ";0;83;24;0;531
8;9;" Orange ";980;1226;1107;531;1530
8;9;" Green  ";1834;1954;1888;1530;2756
8;9;" White  ";3559;3587;3571;2756;4095
8;10;" NONE   ";0;61;8;0;480
8;10;" Orange ";899;1093;1002;480;1365
8;10;" Green  ";1638;1812;1724;1365;2655
8;10;" White  ";3498;3566;3542;2655;4095
8;11;" NONE   ";0;15;0;0;528
8;11;" Orange ";1042;1240;1125;528;1557
8;11;" Green  ";1874;2046;1945;1557;2809
8;11;" White  ";3573;3601;3583;2809;4095
8;12;" NONE   ";6;49;21;0;549
8;12;" Orange ";1050;1227;1138;549;1567
8;12;" Green  ";1908;2134;2013;1567;2848
8;12;" White  ";3563;3590;3579;2848;4095
8;13;" NONE   ";0;28;1;0;548
8;13;" Orange ";1069;1350;1173;548;1686
8;13;" Green  ";2023;2193;2099;1686;2885
8;13;" White  ";3578;3600;3590;2885;4095
8;14;" NONE   ";3;95;30;0;596
8;14;" Orange ";1097;1256;1182;596;1584
8;14;" Green  ";1913;2126;2054;1584;2849
8;14;" White  ";3573;3596;3585;2849;4095
8;15;" NONE   ";3;101;35;0;617
8;15;" Orange ";1134;1369;1224;617;1748
8;15;" Green  ";2128;2324;2217;1748;2950
8;15;" White  ";3576;3605;3591;2950;4095
9;0;" NONE   ";13;111;47;0;647
9;0;" Orange ";1183;1359;1276;647;1720
9;0;" Green  ";2082;2342;2223;1720;2973
